Name;New_Measure_31-07-2020;
Description;;
Measure-Intervall;00:00:10;
;;

Time SN:702643 (S30X):P1;SN:702643 (S30X):P1 bar;Time SN:702643 (S30X):P2;SN:702643 (S30X):P2 bar;Time SN:702643 (S30X):TOB1;SN:702643 (S30X):TOB1 °C;Time SN:702643 (S30X):TOB2;SN:702643 (S30X):TOB2 °C;Time SN:702643 (S30X):CH0;SN:702643 (S30X):CH0 bar;
7/31/2020 8:56:14 AM.952;13.9624786;7/31/2020 8:56:14 AM.982;8.8882446;7/31/2020 8:56:15 AM.014;23.6523438;7/31/2020 8:56:15 AM.046;23.6523438;7/31/2020 8:56:15 AM.088;5.067543;
7/31/2020 8:56:24 AM.952;13.9704475;7/31/2020 8:56:24 AM.978;8.8886375;7/31/2020 8:56:25 AM.009;23.5922852;7/31/2020 8:56:25 AM.042;23.5898438;7/31/2020 8:56:25 AM.074;5.0677795;
7/31/2020 8:56:34 AM.952;13.9697075;7/31/2020 8:56:34 AM.989;8.8859825;7/31/2020 8:56:35 AM.021;23.5922852;7/31/2020 8:56:35 AM.053;23.5898438;7/31/2020 8:56:35 AM.085;5.0725784;
7/31/2020 8:56:44 AM.952;13.959507;7/31/2020 8:56:44 AM.985;8.8832207;7/31/2020 8:56:45 AM.017;23.612793;7/31/2020 8:56:45 AM.049;23.5898438;7/31/2020 8:56:45 AM.081;5.076416;
7/31/2020 8:56:54 AM.952;13.950489;7/31/2020 8:56:54 AM.980;8.8768425;7/31/2020 8:56:55 AM.012;23.5922852;7/31/2020 8:56:55 AM.044;23.6210938;7/31/2020 8:56:55 AM.076;5.075798;
7/31/2020 8:57:04 AM.953;13.9386177;7/31/2020 8:57:04 AM.977;8.8757629;7/31/2020 8:57:05 AM.008;23.5922852;7/31/2020 8:57:05 AM.040;23.5703125;7/31/2020 8:57:05 AM.072;5.0672493;
7/31/2020 8:57:14 AM.953;13.9148979;7/31/2020 8:57:14 AM.987;8.8705635;7/31/2020 8:57:15 AM.019;23.5922852;7/31/2020 8:57:15 AM.051;23.5898438;7/31/2020 8:57:15 AM.083;5.0547409;
7/31/2020 8:57:24 AM.954;13.9336281;7/31/2020 8:57:24 AM.983;8.8696861;7/31/2020 8:57:25 AM.015;23.5722656;7/31/2020 8:57:25 AM.047;23.5898438;7/31/2020 8:57:25 AM.079;5.0691681;
7/31/2020 8:57:34 AM.954;13.9506874;7/31/2020 8:57:34 AM.979;8.8677597;7/31/2020 8:57:35 AM.010;23.5722656;7/31/2020 8:57:35 AM.042;23.5703125;7/31/2020 8:57:35 AM.074;5.0860481;
7/31/2020 8:57:44 AM.955;13.964756;7/31/2020 8:57:44 AM.989;8.8610878;7/31/2020 8:57:45 AM.022;23.5532227;7/31/2020 8:57:45 AM.054;23.5898438;7/31/2020 8:57:45 AM.086;5.0980911;
7/31/2020 8:57:54 AM.955;13.9525719;7/31/2020 8:57:54 AM.986;8.8599663;7/31/2020 8:57:55 AM.017;23.5327148;7/31/2020 8:57:55 AM.050;23.5898438;7/31/2020 8:57:55 AM.081;5.0840378;
7/31/2020 8:58:04 AM.956;13.9203987;7/31/2020 8:58:04 AM.981;8.857975;7/31/2020 8:58:05 AM.020;23.5922852;7/31/2020 8:58:05 AM.045;23.6210938;7/31/2020 8:58:05 AM.077;5.075264;
7/31/2020 8:58:14 AM.955;13.9372292;7/31/2020 8:58:14 AM.992;8.8521347;7/31/2020 8:58:15 AM.024;23.5532227;7/31/2020 8:58:15 AM.056;23.5703125;7/31/2020 8:58:15 AM.088;5.0977058;
7/31/2020 8:58:24 AM.955;13.9413414;7/31/2020 8:58:24 AM.988;8.8531265;7/31/2020 8:58:25 AM.020;23.5532227;7/31/2020 8:58:25 AM.051;23.5703125;7/31/2020 8:58:25 AM.084;5.0899467;
7/31/2020 8:58:34 AM.955;13.9163361;7/31/2020 8:58:34 AM.984;8.8521538;7/31/2020 8:58:35 AM.015;23.5131836;7/31/2020 8:58:35 AM.047;23.5507812;7/31/2020 8:58:35 AM.079;5.0472832;
7/31/2020 8:58:44 AM.955;13.9112167;7/31/2020 8:58:44 AM.979;8.8459435;7/31/2020 8:58:45 AM.011;23.5131836;7/31/2020 8:58:45 AM.043;23.5507812;7/31/2020 8:58:45 AM.075;5.0631752;
7/31/2020 8:58:54 AM.954;13.9271736;7/31/2020 8:58:54 AM.990;8.844059;7/31/2020 8:58:55 AM.022;23.5327148;7/31/2020 8:58:55 AM.054;23.5351562;7/31/2020 8:58:55 AM.086;5.0731201;
